Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_50_292,VGND,li1,140.5300,146.8800,0.000178
FILLER_50_289,VGND,li1,139.1500,146.8800,0.000178
FILLER_50_286,VGND,li1,137.7700,146.8800,0.000178
FILLER_50_283,VGND,li1,136.3900,146.8800,0.000178
FILLER_50_280,VGND,li1,135.0100,146.8800,0.000178
FILLER_50_277,VGND,li1,133.6300,146.8800,0.000178
FILLER_50_274,VGND,li1,132.2500,146.8800,0.000178
FILLER_50_271,VGND,li1,130.8700,146.8800,0.000178
FILLER_50_268,VGND,li1,129.4900,146.8800,0.000178
FILLER_50_265,VGND,li1,128.1100,146.8800,0.000178
FILLER_50_262,VGND,li1,126.7300,146.8800,0.000178
FILLER_50_259,VGND,li1,125.3500,146.8800,0.000178
FILLER_50_256,VGND,li1,123.9700,146.8800,0.000178
FILLER_50_253,VGND,li1,122.5900,146.8800,0.000178
FILLER_50_249,VGND,li1,120.7500,146.8800,0.000178
FILLER_50_246,VGND,li1,119.3700,146.8800,0.000178
FILLER_50_243,VGND,li1,117.9900,146.8800,0.000178
FILLER_50_240,VGND,li1,116.6100,146.8800,0.000178
FILLER_50_224,VGND,li1,109.0200,146.8800,0.000177
FILLER_50_206,VGND,li1,100.5100,146.8800,0.000175
FILLER_50_200,VGND,li1,97.7500,146.8800,0.000174
FILLER_50_197,VGND,li1,96.8300,146.8800,0.000174
FILLER_50_183,VGND,li1,90.3900,146.8800,0.000170
FILLER_50_166,VGND,li1,82.5700,146.8800,0.000165
FILLER_50_141,VGND,li1,71.0700,146.8800,0.000147
FILLER_50_138,VGND,li1,69.4600,146.8800,0.000147
FILLER_50_119,VGND,li1,60.4900,146.8800,0.000130
FILLER_50_102,VGND,li1,53.1300,146.8800,0.000113
FILLER_50_99,VGND,li1,51.7500,146.8800,0.000108
FILLER_50_85,VGND,li1,44.8500,146.8800,0.000091
FILLER_50_53,VGND,li1,30.1300,146.8800,0.000047
FILLER_50_50,VGND,li1,29.2100,146.8800,0.000047
FILLER_50_47,VGND,li1,27.8300,146.8800,0.000039
FILLER_50_44,VGND,li1,26.4500,146.8800,0.000039
FILLER_50_41,VGND,li1,25.0700,146.8800,0.000031
FILLER_50_38,VGND,li1,23.6900,146.8800,0.000031
FILLER_50_35,VGND,li1,22.3100,146.8800,0.000031
FILLER_50_32,VGND,li1,20.9300,146.8800,0.000031
FILLER_50_29,VGND,li1,19.5500,146.8800,0.000031
FILLER_50_27,VGND,li1,18.1700,146.8800,0.000031
FILLER_50_24,VGND,li1,17.2500,146.8800,0.000031
FILLER_50_21,VGND,li1,15.8700,146.8800,0.000031
FILLER_50_18,VGND,li1,14.4900,146.8800,0.000031
