Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_50_301,VPWR,li1,144.6700,149.6000,1.799757
FILLER_50_298,VPWR,li1,143.2900,149.6000,1.799757
FILLER_50_295,VPWR,li1,141.9100,149.6000,1.799757
FILLER_50_292,VPWR,li1,140.5300,149.6000,1.799757
FILLER_50_289,VPWR,li1,139.1500,149.6000,1.799757
FILLER_50_286,VPWR,li1,137.7700,149.6000,1.799757
FILLER_50_283,VPWR,li1,136.3900,149.6000,1.799757
FILLER_50_280,VPWR,li1,135.0100,149.6000,1.799757
FILLER_50_277,VPWR,li1,133.6300,149.6000,1.799757
FILLER_50_274,VPWR,li1,132.2500,149.6000,1.799757
FILLER_50_271,VPWR,li1,130.8700,149.6000,1.799757
FILLER_50_268,VPWR,li1,129.4900,149.6000,1.799757
FILLER_50_265,VPWR,li1,128.1100,149.6000,1.799757
FILLER_50_262,VPWR,li1,126.7300,149.6000,1.799757
FILLER_50_259,VPWR,li1,125.3500,149.6000,1.799757
FILLER_50_256,VPWR,li1,123.9700,149.6000,1.799757
FILLER_50_253,VPWR,li1,122.5900,149.6000,1.799757
FILLER_50_249,VPWR,li1,120.7500,149.6000,1.799757
FILLER_50_246,VPWR,li1,119.3700,149.6000,1.799758
FILLER_50_243,VPWR,li1,117.9900,149.6000,1.799758
FILLER_50_240,VPWR,li1,116.6100,149.6000,1.799759
FILLER_50_224,VPWR,li1,109.0200,149.6000,1.799763
FILLER_50_206,VPWR,li1,100.5100,149.6000,1.799770
FILLER_50_200,VPWR,li1,97.7500,149.6000,1.799772
FILLER_50_197,VPWR,li1,96.8300,149.6000,1.799772
FILLER_50_183,VPWR,li1,90.3900,149.6000,1.799779
FILLER_50_166,VPWR,li1,82.5700,149.6000,1.799789
FILLER_50_141,VPWR,li1,71.0700,149.6000,1.799809
FILLER_50_138,VPWR,li1,69.4600,149.6000,1.799813
FILLER_50_119,VPWR,li1,60.4900,149.6000,1.799833
FILLER_50_102,VPWR,li1,53.1300,149.6000,1.799854
FILLER_50_99,VPWR,li1,51.7500,149.6000,1.799854
FILLER_50_85,VPWR,li1,44.8500,149.6000,1.799876
FILLER_50_53,VPWR,li1,30.1300,149.6000,1.799929
FILLER_50_50,VPWR,li1,29.2100,149.6000,1.799936
FILLER_50_47,VPWR,li1,27.8300,149.6000,1.799936
FILLER_50_44,VPWR,li1,26.4500,149.6000,1.799945
FILLER_50_41,VPWR,li1,25.0700,149.6000,1.799952
FILLER_50_38,VPWR,li1,23.6900,149.6000,1.799952
FILLER_50_35,VPWR,li1,22.3100,149.6000,1.799961
FILLER_50_32,VPWR,li1,20.9300,149.6000,1.799961
FILLER_50_29,VPWR,li1,19.5500,149.6000,1.799961
FILLER_50_27,VPWR,li1,18.1700,149.6000,1.799961
FILLER_50_24,VPWR,li1,17.2500,149.6000,1.799961
FILLER_50_21,VPWR,li1,15.8700,149.6000,1.799961
FILLER_50_18,VPWR,li1,14.4900,149.6000,1.799961
FILLER_50_15,VPWR,li1,13.1100,149.6000,1.799961
FILLER_50_12,VPWR,li1,11.7300,149.6000,1.799961
FILLER_50_9,VPWR,li1,10.3500,149.6000,1.799961
FILLER_50_6,VPWR,li1,8.9700,149.6000,1.799961
FILLER_50_3,VPWR,li1,7.5900,149.6000,1.799961
FILLER_49_308,VPWR,li1,147.6600,144.1600,1.799821
